NetworkId,FullName,TotalPublications,TotalCitations,FirstYear,AuthorTopField,AuthorFieldDiversity,gender_only,intersectional,race_ethnicity,AuthorGender,AffiliationId,AffiliationName,org_id,carnegie_id,carnegie_doctoral_type,carnegie_msi,carnegie_hsi,carnegie_hbcu
275,elisa h barney smith,1,0.0,2007,computer science,0.3870162297128589,0,0,0,man,120156002.0,Boise State University,1158879242.0,142115.0,R2,False,False,False
390,arielle drummond,1,0.0,2007,engineering,0.1666666666666666,0,0,0,woman,74973139.0,Carnegie Mellon University,15048887.0,211440.0,R1,False,False,False
866,carol b muller,3,1.0,2005,engineering,0.1786786786786786,8,2,1,woman,,,,,,,,
524,theda danielsrace,1,0.0,2007,unknown,0.7335381913959613,0,0,0,woman,121820613.0,Louisiana State University,373313306.0,159391.0,R1,False,False,False
736,carla fehr,4,35.0,2008,sociology,0.4065934065934066,6,0,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
265,mary anne holmes,9,126.0,2003,geology,0.1446540880503144,7,0,0,woman,114395901.0,University of Nebraska–Lincoln,3390882279.0,181464.0,R1,False,False,False
219,kristen p constant,3,2.0,2010,unknown,0.4281567489114659,1,1,2,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
423,patricia wonch hill,1,7.0,2014,psychology,0.1648351648351648,1,0,1,woman,,,,,,,,
450,julia mcquillan,1,7.0,2014,psychology,0.3244958924570575,16,3,9,woman,,,,,,,,
405,ashley grantham,1,33.0,2014,sociology,0.4,0,0,0,woman,,,,,,,,
520,audrey j jaeger,5,56.0,2014,psychology,0.2799171842650103,3,0,3,woman,137902535.0,North Carolina State University,2263107286.0,199193.0,R1,False,False,False
582,allison mitchall,1,33.0,2014,psychology,0.4,0,0,0,woman,,,,,,,,
583,kelly cowdery,1,33.0,2014,sociology,1.0,0,0,0,woman,,,,,,,,
595,jennifer eliason,1,33.0,2014,sociology,1.0,0,0,1,woman,,,,,,,,
776,kate jingjing zhang,1,33.0,2014,sociology,0.0,0,0,0,woman,,,,,,,,
260,jessi l smith,11,197.0,2004,psychology,0.3261562998405103,15,0,3,woman,23732399.0,Montana State University,4012281303.0,180461.0,R1,False,False,False
646,sara rushing,4,52.0,2013,sociology,0.1473684210526315,5,0,0,woman,23732399.0,Montana State University,4012281303.0,180461.0,R1,False,False,False
648,lucy e bailey,1,5.0,2009,sociology,0.2553846153846154,11,1,1,woman,,,,,,,,
153,melanie c page,1,5.0,2009,psychology,0.3405928614640048,2,0,0,woman,,,,,,,,
33,jean van delinder,1,5.0,2009,sociology,0.1985294117647058,5,2,2,man,,,,,,,,
316,mary frank fox,8,710.0,2003,sociology,0.2224507787246547,21,0,0,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False
179,brian a eiler,1,0.0,2014,psychology,0.5238095238095238,0,0,0,man,63135867.0,University of Cincinnati,3740284992.0,201885.0,R1,False,False,False
784,manuela romero,1,0.0,2005,psychology,0.1904761904761904,0,0,0,woman,,,,,,,,
438,ann q gates,1,0.0,2005,computer science,0.5293777469349988,3,0,0,woman,,,,,,,,
519,megumi watanabe,5,47.0,2010,psychology,0.2222222222222222,1,0,3,woman,113306721.0,Hiroshima University,4164632330.0,,other,False,False,False
5,kerry k karukstis,5,24.0,2009,unknown,0.3085614950021729,3,0,0,woman,133543626.0,Harvey Mudd College,3575800017.0,115409.0,carnegie,False,False,False
237,clair brown,1,0.0,2013,business,0.1793444650587507,2,0,0,man,,,,,,,,
292,eric freeman,1,0.0,2013,economics,0.1904761904761904,0,0,0,man,,,,,,,,
233,laura a hartin,1,0.0,2009,engineering,0.0,0,0,0,woman,,,,,,,,
84,diana bilimoria,8,507.0,2006,sociology,0.2355119825708061,33,0,8,woman,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False
299,linley lord,1,2.0,2014,sociology,0.1555555555555555,3,0,0,woman,,,,,,,,
235,annabelle foos,1,2.0,2004,geology,0.1714285714285714,0,0,0,woman,,,,,,,,
761,suzanne oconnell,7,109.0,2003,geology,0.3923673225998807,4,0,1,woman,100538780.0,Wesleyan University,1893812148.0,130697.0,carnegie,False,False,False
600,sue v rosser,14,550.0,2004,sociology,0.1638837353123067,42,5,3,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False
504,sylvia thomas,1,1.0,2014,unknown,0.4060419866871479,1,0,0,woman,2613432.0,unknown,,,,,,
13,canan bilengreen,15,28.0,2010,political science,0.2494623655913978,6,1,1,woman,57328836.0,North Dakota State University,2340947716.0,200332.0,R2,False,False,False
172,adrienne r minerick,1,0.0,2014,unknown,0.1107070707070707,3,0,1,woman,,,,,,,,
189,sandra d eksioglu,1,0.0,2014,engineering,0.2457225314368171,0,0,1,woman,,,,,,,,
257,beth m holloway,1,0.0,2014,engineering,0.2026143790849673,3,0,2,woman,,,,,,,,
455,roger a green,7,6.0,2010,mathematics,0.1763440860215053,4,0,1,man,57328836.0,North Dakota State University,2340947716.0,200332.0,R2,False,False,False
801,debra m gilbuena,1,0.0,2014,political science,0.0,0,0,1,woman,,,,,,,,
693,deborah g johnson,1,47.0,2006,sociology,0.1622971285892634,1,0,1,woman,,,,,,,,
102,catherine white berheide,6,16.0,2010,sociology,0.2210144927536232,8,0,1,woman,21104390.0,Skidmore College,1515029504.0,195526.0,carnegie,False,False,False
284,marcia texler segal,1,5.0,2014,sociology,0.3774680603948896,31,5,2,woman,,,,,,,,
432,vasilikie demos,1,5.0,2014,sociology,0.3618538324420677,27,2,3,unknown,,,,,,,,
111,danielle lavaquemanty,2,60.0,2007,political science,0.2,1,0,1,woman,,,,,,,,
321,abigail j stewart,4,181.0,2007,psychology,0.3783312577833125,77,11,14,woman,,,,,,,,
435,janet e malley,1,54.0,2007,psychology,0.419047619047619,7,0,1,woman,,,,,,,,
378,xiangfen liang,3,316.0,2006,political science,0.2285714285714285,4,0,0,unknown,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False
335,cecilia e ford,1,35.0,2008,psychology,0.3891402714932127,2,0,0,woman,,,,,,,,
380,wendy m williams,1,226.0,2007,psychology,0.3401122019635343,19,0,2,woman,,,,,,,,
488,stephen j ceci,1,226.0,2007,psychology,0.5317980179329873,52,0,3,man,,,,,,,,
816,nancy cantor,2,195.0,2005,sociology,0.2907268170426065,6,0,1,woman,,,,,,,,
482,diane m debinski,2,1.0,2008,biology,0.3121244952230868,0,2,0,woman,,,,,,,,
796,sharon r bird,7,175.0,2008,sociology,0.1719576719576719,9,2,2,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
46,dawn bratschprince,1,0.0,2012,art,0.1272727272727272,1,1,0,woman,,,,,,,,
203,sandra w gahn,2,1.0,2012,psychology,1.0,1,1,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
326,bonnie s bowen,2,1.0,2012,biology,0.4175824175824176,1,1,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
505,lisa m larson,3,6.0,2010,psychology,0.800045756119881,3,1,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
745,elizabeth hoffman,1,0.0,2012,economics,0.3531135531135531,0,1,0,woman,,,,,,,,
773,katherine richardson bruna,1,0.0,2012,psychology,0.0,0,1,0,woman,,,,,,,,
810,elisabeth j hufflonergan,1,0.0,2012,psychology,0.0,0,1,0,woman,,,,,,,,
832,susan j lamont,1,0.0,2012,psychology,0.0,0,1,0,woman,,,,,,,,
818,alice b popejoy,2,7.0,2012,biology,0.1631578947368421,3,0,3,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False
205,phoebe s leboy,3,147.0,2011,biology,0.3858647936786655,2,0,1,woman,79576946.0,University of Pennsylvania,2811053647.0,215062.0,R1,False,False,False
244,barbara l whitten,1,0.0,2010,unknown,0.1333333333333333,3,0,0,woman,,,,,,,,
267,anne cox,2,0.0,2010,unknown,0.1736842105263158,0,0,0,woman,,,,,,,,
401,cynthia blaha,1,0.0,2010,physics,0.4166666666666667,0,0,0,woman,,,,,,,,
515,amy lisa graves,1,0.0,2010,physics,0.1520467836257309,3,0,0,woman,,,,,,,,
972,linda fritz,1,0.0,2010,psychology,0.0,0,0,0,woman,,,,,,,,
98,julie a kmec,4,8.0,2013,psychology,0.2288557213930348,14,2,8,woman,72951846.0,Washington State University,1133568255.0,236939.0,R1,False,False,False
144,alice l pawley,11,94.0,2010,sociology,0.2600961538461538,12,3,9,woman,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False
170,jordana hoegh,3,13.0,2010,sociology,0.2666666666666666,0,0,0,woman,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False
477,corey schimpf,4,10.0,2013,computer science,0.2955665024630542,4,0,1,man,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False
666,marisol mercado santiago,1,2.0,2013,political science,0.3,0,0,1,man,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False
758,dina banerjee,6,26.0,2010,sociology,0.2666666666666666,2,0,5,woman,139418187.0,Shippensburg University of Pennsylvania,3590127483.0,216010.0,carnegie,False,False,False
155,matthew j zawadzki,5,216.0,2011,psychology,0.6435064935064935,7,1,2,man,130769515.0,Pennsylvania State University,3638840717.0,214777.0,R1,False,False,False
157,cinnamon l danube,3,161.0,2012,psychology,0.8947368421052632,11,0,0,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False
271,jessica l cundiff,1,62.0,2014,psychology,0.6928104575163399,7,0,0,woman,39660569.0,Colgate University,3800079431.0,190099.0,carnegie,False,False,False
317,stephanie a shields,5,216.0,2011,psychology,0.6168735535451294,40,13,1,woman,130769515.0,Pennsylvania State University,3638840717.0,214777.0,R1,False,False,False
79,amanda v bakian,1,7.0,2010,medicine,0.4180790960451977,2,0,3,woman,121980950.0,Utah State University,961439496.0,230728.0,R2,False,False,False
774,kimberly a sullivan,3,79.0,2005,biology,0.238095238095238,1,0,0,woman,121980950.0,Utah State University,961439496.0,230728.0,R2,False,False,False
264,annette m oconnor,1,1.0,2012,medicine,0.5356181404017395,4,0,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
675,katharine ridgway obrien bachman,1,2.0,2011,psychology,0.0,0,0,0,woman,,,,,,,,
36,andrew lounder,3,53.0,2011,sociology,0.6,0,0,0,man,,,,,,,,
944,aleece hodges,1,13.0,2013,sociology,0.0,0,0,0,woman,,,,,,,,
319,joan c williams,3,72.0,2014,sociology,0.1603504094458198,50,4,6,woman,2803209242.0,University of California,1259477389.0,110398.0,carnegie,False,False,False
429,rachel dempsey,1,36.0,2014,engineering,0.0,1,0,0,woman,,,,,,,,
798,annemarie slaughter,1,36.0,2014,political science,0.4352941176470588,2,0,0,woman,,,,,,,,
195,emma jeanes,1,35.0,2011,sociology,0.2412698412698412,10,0,0,woman,,,,,,,,
413,patricia yancey martin,1,35.0,2011,unknown,0.0,1,0,0,man,,,,,,,,
837,david knights,1,35.0,2011,sociology,0.3127266387726639,40,1,3,man,,,,,,,,
193,christine wiedinmyer,4,9.0,2010,unknown,0.4311340148123116,1,0,0,woman,107766831.0,National Center for Atmospheric Research,3526455519.0,,other,False,False,False
243,meredith g hastings,5,17.0,2010,unknown,0.2713410823647044,1,0,0,woman,27804330.0,Brown University,3841252086.0,217156.0,R1,False,False,False
787,r kontak,4,6.0,2010,sociology,0.5238095238095238,1,0,0,woman,27804330.0,Brown University,3841252086.0,217156.0,R1,False,False,False
135,deanna prall,1,1.0,2011,engineering,0.0,0,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
182,barbara hacker,2,7.0,2009,unknown,0.0476190476190476,1,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
223,mary lucero ferrel,2,7.0,2009,medicine,0.0,0,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
371,jill nemiro,3,22.0,2007,unknown,0.1785714285714285,2,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
460,erika dejonghe,1,1.0,2011,psychology,0.1969696969696969,2,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
778,susan tucker,1,1.0,2011,engineering,0.0,0,0,0,woman,,,,,,,,
9,erika g offerdahl,2,43.0,2013,psychology,0.1913265306122449,1,0,0,woman,57328836.0,North Dakota State University,2340947716.0,200332.0,R2,False,False,False
214,jennifer l momsen,2,43.0,2013,psychology,0.2460881934566145,0,0,0,woman,57328836.0,North Dakota State University,2340947716.0,200332.0,R2,False,False,False
547,marcy p osgood,1,1.0,2014,psychology,0.1714285714285714,0,0,0,woman,,,,,,,,
217,sandra l laursen,11,265.0,2007,psychology,0.1629807692307692,8,1,1,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False
762,kris de welde,4,113.0,2008,sociology,0.1111111111111111,3,1,0,woman,2801014300.0,unknown,,,,,,
77,christine hult,2,72.0,2005,sociology,0.1904761904761904,1,0,0,woman,,,,,,,,
26,michelle r hebl,5,328.0,2009,psychology,0.6166217161122765,30,1,10,woman,74775410.0,Rice University,3820954773.0,227757.0,R1,False,False,False
437,katharine ridgway obrien,3,30.0,2015,psychology,0.3333333333333333,2,0,0,woman,74775410.0,Rice University,3820954773.0,227757.0,R1,False,False,False
208,allison l steiner,3,7.0,2010,unknown,0.3995037220843672,2,0,0,woman,27837315.0,University of Michigan,44098792.0,170976.0,R1,False,False,False
574,amanda s adams,3,7.0,2010,sociology,0.1380952380952381,1,0,0,woman,102149020.0,University of North Carolina at Charlotte,2210833833.0,199139.0,R2,False,False,False
363,dalinda martinez,2,12.0,2015,political science,0.3333333333333333,1,0,0,man,87216513.0,Michigan State University,2617467897.0,171100.0,R1,False,False,False
446,ann e austin,2,12.0,2015,political science,0.2622525154170724,4,0,0,woman,87216513.0,Michigan State University,2617467897.0,171100.0,R1,False,False,False
779,melissa soto,2,12.0,2015,political science,1.0,1,0,0,woman,17900154.0,Association of American Colleges and Universities,1183998730.0,,other,False,False,False
120,ronda roberts callister,3,218.0,2005,psychology,0.5689900426742532,1,0,0,man,121980950.0,Utah State University,961439496.0,230728.0,R2,False,False,False
293,richard k martin,3,2.0,2015,computer science,0.3090562226461676,0,0,0,man,,,,,,,,
503,m y lanzerotti,6,7.0,2013,engineering,0.1846917450365726,3,0,0,woman,119916105.0,Augsburg College,1162819328.0,,other,False,False,False
534,charles cerny,2,2.0,2015,unknown,0.3014492753623188,0,0,0,man,1280414376.0,Air Force Research Laboratory,2948282514.0,,other,False,False,False
581,bhargab chattopadhyay,2,2.0,2015,mathematics,0.4523076923076923,0,0,0,unknown,162577319.0,University of Texas at Dallas,3136594921.0,228787.0,R1,False,False,False
601,b paul,2,2.0,2015,sociology,0.0,0,0,0,unknown,1280414376.0,Air Force Research Laboratory,2948282514.0,,other,False,False,False
786,kelsey morgan irvin,4,4.0,2014,engineering,0.1428571428571428,1,0,0,woman,204465549.0,Washington University in St. Louis,1944632304.0,179867.0,R1,False,False,False
788,elizabeth hiteshue,4,4.0,2014,engineering,0.1428571428571428,1,0,0,woman,79576946.0,University of Pennsylvania,2811053647.0,215062.0,R1,False,False,False
833,s hochheiser,2,3.0,2014,sociology,0.0,0,0,0,man,108468826.0,Stevens Institute of Technology,2639210009.0,186867.0,R2,False,False,False
820,michael geselowitz,4,4.0,2014,engineering,0.1904761904761904,1,0,0,man,108468826.0,Stevens Institute of Technology,2639210009.0,186867.0,R2,False,False,False
895,derrick langley,5,5.0,2013,engineering,0.1944444444444444,1,0,0,man,,,,,,,,
789,ruth guthrie,1,6.0,2009,computer science,0.1579831932773109,4,0,0,woman,,,,,,,,
518,brian coller,1,1.0,2015,computer science,0.3040935672514619,0,0,0,man,102502594.0,Northern Illinois University,2241523156.0,147703.0,R2,False,False,False
376,lesley s rigg,1,1.0,2015,unknown,0.1952380952380952,0,0,0,woman,102502594.0,Northern Illinois University,2241523156.0,147703.0,R2,False,False,False
407,christopher mccord,1,1.0,2015,mathematics,0.5818815331010453,0,0,0,man,102502594.0,Northern Illinois University,2241523156.0,147703.0,R2,False,False,False
427,amy levin,1,1.0,2015,sociology,0.2948717948717949,5,0,1,woman,102502594.0,Northern Illinois University,2241523156.0,147703.0,R2,False,False,False
780,jeff reynolds,1,1.0,2015,sociology,0.0,0,0,0,man,102502594.0,Northern Illinois University,2241523156.0,147703.0,R2,False,False,False
373,ronald j burke,1,111.0,2007,psychology,0.4575439872524297,46,0,2,man,,,,,,,,
934,mary c mattis,1,111.0,2007,business,0.1666666666666666,3,0,0,woman,,,,,,,,
568,l g lunsford,1,15.0,2015,unknown,0.2343395001622849,1,0,0,woman,138006243.0,University of Arizona,2711307440.0,104179.0,R1,False,False,False
670,j denard thomas,1,15.0,2015,psychology,0.0,0,0,0,unknown,138006243.0,University of Arizona,2711307440.0,104179.0,R1,False,False,False
721,helena a rodrigues,1,15.0,2015,psychology,0.0,0,0,1,woman,138006243.0,University of Arizona,2711307440.0,104179.0,R1,False,False,False
115,molly sween,1,3.0,2011,psychology,0.1904761904761904,0,0,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False
533,mary a armstrong,1,27.0,2015,sociology,0.3,4,1,2,woman,184759092.0,Lafayette College,2312692357.0,213385.0,carnegie,False,False,False
589,jasna jovanovic,1,27.0,2015,psychology,0.3928571428571428,6,1,2,woman,149919469.0,California Polytechnic State University,1261533935.0,110422.0,carnegie,False,False,False
585,laura rhoton,1,3.0,2010,sociology,0.1666666666666666,1,0,0,woman,,,,,,,,
16,corinna schlombs,1,3.0,2015,engineering,0.0666666666666666,1,0,0,woman,,,,,,,,
418,jessica lieberman,1,3.0,2015,political science,0.0,0,0,0,woman,,,,,,,,
536,caroline m delong,1,3.0,2015,computer science,0.2242424242424242,0,0,0,woman,,,,,,,,
744,ann howard,1,3.0,2015,political science,0.0,0,0,0,woman,,,,,,,,
116,kathrin zippel,6,66.0,2014,political science,0.4609609609609609,21,0,0,woman,12912129.0,Northeastern University,4026457052.0,167358.0,R1,False,False,False
573,k m uhly,1,34.0,2015,political science,0.0,1,0,0,unknown,12912129.0,Northeastern University,4026457052.0,167358.0,R1,False,False,False
606,l m visser,1,34.0,2015,sociology,0.1666666666666666,2,0,0,woman,145872427.0,Radboud University Nijmegen,4057057254.0,,other,False,False,False
142,tahira m probst,6,74.0,2014,psychology,0.5243161094224924,3,1,0,woman,137317281.0,Washington State University Vancouver,55106726.0,,other,False,False,False
461,lixin jiang,6,74.0,2014,psychology,0.7624167946748592,0,0,0,unknown,64185308.0,University of Wisconsin–Oshkosh,1629863217.0,240365.0,carnegie,False,False,False
201,matthew meekins,1,5.0,2011,political science,0.3333333333333333,0,0,0,man,,,,,,,,
412,mark kenyon,1,5.0,2011,sociology,0.0,0,0,0,man,,,,,,,,
509,chelsea waugaman,1,5.0,2011,psychology,0.3333333333333333,0,0,0,woman,,,,,,,,
689,amy levine,1,5.0,2011,political science,0.0,0,0,0,woman,,,,,,,,
183,frank l samson,1,9.0,2014,psychology,0.2631578947368421,3,0,7,man,145608581.0,University of Miami,3549030308.0,135726.0,R1,False,False,False
755,lawrence d bobo,1,9.0,2014,sociology,0.3366181410974244,21,0,44,man,136199984.0,Harvard University,2215833544.0,166027.0,R1,False,False,False
466,james g hougland,2,8.0,2014,sociology,0.2540322580645161,5,0,1,man,143302722.0,University of Kentucky,139679301.0,157085.0,R1,False,False,False
497,alice m agogino,1,323.0,2007,computer science,0.3805792466240227,1,0,0,woman,,,,,,,,
493,susan k gardner,8,167.0,2012,sociology,0.3391304347826087,2,0,0,woman,7947594.0,University of Maine,3842802796.0,161253.0,R2,False,False,False
705,richard a posthuma,2,47.0,2008,psychology,0.3104254324450677,6,0,0,man,86519309.0,University of Texas at Austin,3495061422.0,228778.0,R1,False,False,False
359,m f garcia,5,47.0,2007,psychology,0.7843137254901961,1,0,4,woman,164936912.0,University of Texas at El Paso,2689189567.0,228796.0,R1,True,True,False
988,a colella,1,36.0,2008,psychology,0.0,0,0,0,unknown,114832834.0,Tulane University,3758273046.0,160755.0,R1,False,False,False
2,carol colatrella,1,79.0,2006,sociology,0.1108374384236453,7,0,1,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False
126,elizabeth a burroughs,3,0.0,2013,unknown,0.1873015873015873,1,0,0,woman,,,,,,,,
592,jessica m deshler,2,0.0,2013,unknown,0.2733333333333333,1,0,0,woman,12097938.0,West Virginia University,3704167016.0,238032.0,R1,False,False,False
99,lisa l harlow,3,76.0,2006,psychology,0.4018647281921618,16,2,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
242,barbara silver,3,67.0,2006,psychology,0.1111111111111111,2,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
508,david a stuart,1,45.0,2007,computer science,0.0,0,0,0,man,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
584,joan peckham,2,46.0,2006,computer science,0.6464011180992313,0,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
651,helen mederer,2,46.0,2006,psychology,0.282051282051282,2,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
977,peter stephenson,1,45.0,2007,computer science,0.4947368421052631,0,0,0,man,,,,,,,,
954,faye linda wachs,1,15.0,2007,sociology,0.2877492877492877,12,1,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False
312,kimberly k buch,2,52.0,2010,psychology,0.2952380952380952,0,0,0,woman,102149020.0,University of North Carolina at Charlotte,2210833833.0,199139.0,R2,False,False,False
612,katrina knudsen,1,61.0,2013,psychology,0.0,0,0,0,woman,,,,,,,,
756,jill jones,1,61.0,2013,psychology,0.0,0,0,0,woman,,,,,,,,
139,george f tomossy,1,1.0,2002,political science,0.1713900134952766,0,0,0,man,129604602.0,unknown,,,,,,
124,molly carnes,22,748.0,2003,medicine,0.3136408392032114,32,1,11,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False
561,judyann bigby,1,3.0,2007,medicine,0.9047619047619048,2,1,6,woman,1283280774.0,Brigham and Women's Hospital,757437870.0,,other,False,False,False
361,yiming wang,1,4.0,2012,geology,0.1402439024390244,0,0,0,man,,,,,,,,
830,mirjam s glessmer,1,4.0,2012,engineering,0.0,0,0,0,woman,,,,,,,,
221,gary j burkholder,1,10.0,2006,psychology,0.4323835368611488,13,2,5,man,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
529,jennifer ann morrow,1,10.0,2006,psychology,0.7010752688172043,3,0,1,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False
10,rhonda c magel,2,2.0,2013,mathematics,0.4902482269503546,1,0,0,woman,57328836.0,North Dakota State University,2340947716.0,200332.0,R2,False,False,False
227,charlotte chorn dunham,1,5.0,2012,psychology,0.327485380116959,5,0,2,woman,12315562.0,Texas Tech University,2294551921.0,229115.0,R1,False,False,False
451,caryl heintz,1,5.0,2012,unknown,0.1944444444444444,0,0,0,woman,12315562.0,Texas Tech University,2294551921.0,229115.0,R1,False,False,False
605,laura hartin weathers,1,5.0,2012,psychology,0.0,0,0,0,woman,32389192.0,University of Alabama at Birmingham,4027481633.0,100663.0,R1,False,False,False
808,karlene a hoo,1,5.0,2012,mathematics,0.2071881606765327,0,0,0,woman,12315562.0,Texas Tech University,2294551921.0,229115.0,R1,False,False,False
25,amy stambach,2,66.0,2003,sociology,0.3469010175763182,11,0,1,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False
190,ramona gunter,2,66.0,2003,sociology,0.3333333333333333,1,0,0,woman,14403649.0,University of Wisconsin–River Falls,2638073820.0,240471.0,carnegie,False,False,False
430,maria del carmen triana,2,0.0,2009,psychology,0.4626582278481013,10,0,16,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False
456,jennifer sheridan,13,385.0,2003,psychology,0.2620689655172414,10,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False
590,jo handelsman,12,314.0,2004,biology,0.6131762973868237,16,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False
56,cecilia h marzabadi,1,5.0,2011,unknown,0.6516129032258065,3,0,0,woman,,,,,,,,
191,natalie foster,1,5.0,2011,unknown,0.5047619047619047,1,0,0,woman,186143895.0,Lehigh University,1213318465.0,213543.0,R2,False,False,False
365,susan a nolan,1,5.0,2011,psychology,0.7192982456140351,2,0,0,woman,,,,,,,,
607,janine p buckner,1,5.0,2011,psychology,0.4,2,0,0,woman,,,,,,,,
343,sally chapman,1,5.0,2011,mathematics,0.0,2,0,0,woman,98540497.0,Barnard College,1973835356.0,189097.0,carnegie,False,False,False
39,nancy m tooney,1,5.0,2011,engineering,0.25,1,0,0,woman,,,,,,,,
571,felicia f dixon,1,5.0,2011,unknown,0.6,1,0,0,woman,190567190.0,American Chemical Society,2724124343.0,,other,False,False,False
406,deborah a mccarthy,1,5.0,2011,unknown,0.8666666666666667,1,0,0,woman,884745506.0,Saint Mary's College,3905176590.0,152390.0,carnegie,False,False,False
984,valerie j kuck,1,5.0,2011,unknown,0.0,1,0,0,woman,155538133.0,College of Saint Elizabeth,4290004423.0,186618.0,carnegie,False,False,False
345,laura l wright,2,19.0,2010,unknown,0.2222222222222222,2,0,0,woman,86115722.0,Furman University,605705834.0,218070.0,carnegie,False,False,False
