NetworkId,AuthorId,FullName,TotalPublications,TotalCitations,FirstYear,gender_only,intersectional,race_ethnicity,AuthorGender,AffiliationId,AffiliationName,org_id,carnegie_id,carnegie_doctoral_type,carnegie_msi,carnegie_hsi,carnegie_hbcu,PrimaryField,AuthorRace
795,2712543484,karen j sherman,1,21,2006,1,0,0,woman,,unknown,,,unknown,False,False,False,psychology,
743,2647838400,karen wishner,1,1,2006,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
489,2257998911,jennifer ann morrow,1,10,2006,3,0,1,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,psychology,
265,2112180440,carolyn fonseca,2,114,2006,0,0,0,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,psychology,
664,2592050690,betsy homsher,1,0,2006,0,0,0,woman,39965400.0,Kettering University,1625321239.0,169983.0,carnegie,False,False,False,engineering,
209,2085687414,patricia a higgins,1,87,2006,0,0,0,woman,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,psychology,
610,2507455473,christine maidl pribbenow,7,66,2006,2,0,3,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,political science,white
623,2530197478,janet trubatch,1,21,2006,1,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,psychology,white
684,2602013582,britt a holmen,1,0,2006,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,white
301,2124359343,patricia flatley brennan,1,5,2006,1,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,sociology,
878,2899314414,kathleen oconnell,1,0,2006,0,0,0,woman,,unknown,,,unknown,False,False,False,,
76,1215097206,diana bilimoria,8,507,2006,33,0,8,woman,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,psychology,south asian
646,2563994924,deveny benting,2,12,2006,1,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,sociology,
340,2138219017,janice m prochaska,1,21,2006,2,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
662,2586949083,mercedes riverhudec,1,1,2006,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
153,2000910484,leanne m mauriello,1,21,2006,1,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
565,2422883807,jana renner martinez,1,2,2006,0,0,0,woman,164936912.0,University of Texas at El Paso,2689189567.0,228796.0,R1,True,True,False,medicine,
90,1636145280,lisa l harlow,3,76,2006,16,2,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,psychology,white
257,2109508545,jessica winchell,3,13,2006,1,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,political science,
541,2339539115,joan peckham,2,46,2006,0,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,political science,white
730,2632464421,terry s king,1,0,2006,0,0,0,man,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,political science,
636,2559017196,catherine j taylor,2,96,2006,3,0,2,woman,,unknown,,,unknown,False,False,False,sociology,
45,266871166,mary r andersonrowland,1,0,2006,1,0,22,woman,55732556.0,Arizona State University,717246557.0,104151.0,R1,False,False,False,engineering,
748,2655810595,lynn pasquerella,1,1,2006,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
101,1801286119,ann m beutel,1,22,2006,10,0,5,woman,8692664.0,University of Oklahoma,1914578164.0,207500.0,R1,False,False,False,sociology,
87,1493551498,mary e rezac,1,0,2006,0,0,0,woman,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,political science,
205,2072608644,gary j burkholder,1,10,2006,13,2,5,man,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,psychology,
601,2497819054,susan perry,1,87,2006,0,0,0,woman,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,psychology,
759,2669270878,g boudreauxbartels,1,1,2006,0,0,0,unknown,,unknown,,,unknown,False,False,False,political science,
2,15232934,carol colatrella,1,79,2006,7,0,1,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,sociology,
455,2201205766,lisa aultmanhall,1,0,2006,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,white
749,2656068086,evelyn posey,1,2,2006,0,0,0,woman,,unknown,,,unknown,False,False,False,medicine,
112,1938848829,cynthia burack,1,1,2006,14,0,1,woman,52357470.0,Ohio State University,297975.0,204796.0,R1,False,False,False,psychology,white
603,2501958653,helen mederer,2,46,2006,2,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,computer science,white
448,2185418450,catherine t amelink,1,8,2007,0,0,0,woman,859038795.0,Virginia Tech,2324274490.0,233921.0,R1,False,False,False,psychology,
357,2144563920,robyn a berkley,1,29,2007,1,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
526,2307579553,shelley j correll,3,1193,2007,16,0,3,woman,205783295.0,Cornell University,1190280161.0,190415.0,R1,False,False,False,psychology,white
229,2100410148,cheryl geisler,2,125,2007,0,0,0,woman,18014758.0,Simon Fraser University,752601271.0,,other,False,False,False,psychology,white
572,2441660879,carole j bland,1,44,2007,1,0,0,woman,,unknown,,,unknown,False,False,False,psychology,
202,2067754752,sandra l laursen,11,265,2007,8,1,1,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False,political science,white
346,2140716897,ronald j burke,1,111,2007,46,0,2,man,,unknown,,,unknown,False,False,False,sociology,
51,316137364,caterina scoglio,1,1,2007,5,0,0,woman,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
921,2973273509,c lewis,1,1,2007,0,0,0,unknown,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
694,2608345671,peter balsam,3,6,2007,0,0,0,unknown,,unknown,,,unknown,False,False,False,sociology,
966,3113728199,peter stephenson,1,45,2007,0,0,0,man,,unknown,,,unknown,False,False,False,computer science,
140,1989952256,deborah a kaminski,2,125,2007,0,0,0,woman,165799507.0,Rensselaer Polytechnic Institute,1611360196.0,194824.0,R1,False,False,False,,white
84,1428443484,sarah thebaud,2,40,2007,19,0,2,woman,,unknown,,,unknown,False,False,False,sociology,
182,2042141023,quentin jones,1,8,2007,1,0,0,man,118118575.0,New Jersey Institute of Technology,2881463209.0,185828.0,R1,False,False,False,computer science,
225,2099694981,coleen carrigan,4,15,2007,6,1,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False,sociology,
422,2166103127,robyn marschke,2,128,2007,2,0,0,woman,114526571.0,Concordia College,2009072930.0,173300.0,carnegie,False,False,False,political science,
292,2120458397,robin e bell,6,11,2007,7,0,1,man,152304114.0,Lamont–Doherty Earth Observatory,996087284.0,,other,False,False,False,political science,white
470,2232166977,david a stuart,1,45,2007,0,0,0,man,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,computer science,
445,2181973962,sheila edwards lange,1,7,2007,2,0,0,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False,psychology,black
102,1809648712,danielle lavaquemanty,2,60,2007,1,0,1,woman,,unknown,,,unknown,False,False,False,political science,
42,254529698,eve a riskin,4,21,2007,3,0,0,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False,sociology,white
504,2277739274,diana rhoten,1,176,2007,0,0,1,woman,1284584826.0,Social Science Research Council,2855250061.0,,other,False,False,False,sociology,
798,2715383781,sushanta mohapatra,1,140,2007,0,0,0,unknown,,unknown,,,unknown,False,False,False,sociology,
333,2135110850,maria fernanda garcia,5,47,2007,1,0,4,woman,164936912.0,University of Texas at El Paso,2689189567.0,228796.0,R1,True,True,False,psychology,
401,2157221179,maria del carmen triana,3,0,2007,10,0,16,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,psychology,
305,2125393780,anil pahwa,1,1,2007,2,0,0,man,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
405,2159357506,janet e malley,1,54,2007,7,0,1,woman,,unknown,,,unknown,False,False,False,psychology,white
485,2252205290,theda danielsrace,1,0,2007,0,0,0,woman,121820613.0,Louisiana State University,373313306.0,159391.0,R1,False,False,False,engineering,
509,2292480150,m muguira,1,1,2007,0,0,0,unknown,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
344,2140120644,jill nemiro,3,22,2007,2,0,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False,engineering,white
365,2146893927,joyce mccarl nielsen,1,128,2007,6,0,0,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False,political science,white
324,2129553444,joyce w yen,5,27,2007,4,0,1,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False,sociology,east asian
523,2305944075,judyann bigby,1,3,2007,2,1,6,woman,1283280774.0,Brigham and Women's Hospital,757437870.0,,other,False,False,False,medicine,
67,689186489,virginia valian,3,62,2007,10,0,4,woman,39694355.0,Hunter College,818385055.0,190594.0,carnegie,True,True,False,psychology,white
353,2142916377,wendy m williams,1,226,2007,19,0,2,woman,,unknown,,,unknown,False,False,False,political science,
345,2140449765,kate quinn,2,17,2007,0,0,1,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False,psychology,
300,2123940098,abigail j stewart,4,181,2007,77,11,14,woman,,unknown,,,unknown,False,False,False,psychology,white
54,326967685,katherine j kuchenbecker,1,0,2007,0,0,0,woman,79576946.0,University of Pennsylvania,2811053647.0,215062.0,R1,False,False,False,engineering,
777,2682544966,a e michaels,1,2,2007,0,0,0,unknown,,unknown,,,unknown,False,False,False,economics,
399,2156740543,j d laird,5,10,2007,1,0,0,woman,152304114.0,Lamont–Doherty Earth Observatory,996087284.0,,other,False,False,False,political science,
223,2098824219,in paik,1,1168,2007,0,0,0,unknown,205783295.0,Cornell University,1190280161.0,190415.0,R1,False,False,False,psychology,
120,1967180460,maria m plummer,1,8,2007,0,0,0,woman,118118575.0,New Jersey Institute of Technology,2881463209.0,185828.0,R1,False,False,False,computer science,
78,1222050478,don gruenbacher,1,1,2007,0,0,0,man,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
275,2114436856,stephen benard,2,1184,2007,2,0,1,man,205783295.0,Cornell University,1190280161.0,190415.0,R1,False,False,False,sociology,
915,2966446403,mary c mattis,1,111,2007,3,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
453,2200705417,stephen j ceci,1,226,2007,52,0,3,man,,unknown,,,unknown,False,False,False,political science,
742,2647488489,beatriz hernandez,1,0,2007,0,0,0,woman,23968078.0,University of Puerto Rico at Humacao,680176345.0,243179.0,carnegie,True,True,False,,
251,2106668899,elisa h barney smith,1,0,2007,0,0,0,man,120156002.0,Boise State University,1158879242.0,142115.0,R2,False,False,False,engineering,
29,166330196,starr roxanne hiltz,1,8,2007,0,0,0,woman,118118575.0,New Jersey Institute of Technology,2881463209.0,185828.0,R1,False,False,False,computer science,
15,78915436,elizabeth litzler,3,10,2007,7,2,8,woman,201448701.0,University of Washington,3040312343.0,236948.0,R1,False,False,False,sociology,white
805,2723540919,edwin diaz,1,0,2007,0,0,0,man,23968078.0,University of Puerto Rico at Humacao,680176345.0,243179.0,carnegie,True,True,False,,
888,2913127108,eric arredondo,1,0,2007,0,0,0,man,,unknown,,,unknown,False,False,False,psychology,
937,2986121241,faye linda wachs,1,15,2007,12,1,0,woman,98947143.0,"California State Polytechnic University, Pomona",3785258260.0,110529.0,carnegie,False,False,False,sociology,
475,2241385459,maura borrego,2,147,2007,4,0,4,woman,859038795.0,Virginia Tech,2324274490.0,233921.0,R1,False,False,False,engineering,
289,2119368384,bonnie r rush,1,0,2007,0,0,0,woman,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,psychology,
436,2170393678,geraldine downey,1,2,2007,6,0,2,woman,78577930.0,Columbia University,2128007522.0,190150.0,R1,False,False,False,political science,
363,2145600298,arielle drummond,1,0,2007,0,0,0,woman,74973139.0,Carnegie Mellon University,15048887.0,211440.0,R1,False,False,False,engineering,
82,1257729924,stephanie pfirman,7,187,2007,5,0,1,woman,98540497.0,Barnard College,1973835356.0,189097.0,carnegie,False,False,False,political science,white
481,2251154788,p rankin,2,128,2007,2,0,0,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False,political science,white
167,2026613717,balasubramaniam natarajan,1,1,2007,0,0,0,man,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,,
924,2973653704,e kim,1,8,2007,0,0,0,unknown,21700936.0,Northern State University,3046703153.0,219259.0,carnegie,False,False,False,computer science,
214,2093839074,igor ryabov,1,3,2008,4,1,4,man,2802326326.0,University of Texas–Pan American,2088398108.0,227368.0,R2,True,True,False,sociology,white
724,2628406640,diane m debinski,2,1,2008,0,2,0,woman,,unknown,,,unknown,False,False,False,psychology,
449,2190080880,KerryAnn O'Meara,26,769,2008,3,0,3,woman,66946132.0,"University of Maryland, College Park",3507754253.0,163286.0,R1,True,False,False,sociology,white
95,1719983759,christopher n brammer,1,4,2008,1,0,0,man,8692664.0,University of Oklahoma,1914578164.0,207500.0,R1,False,False,False,political science,
311,2126892707,ronald l miller,1,36,2008,0,0,0,man,167576493.0,Colorado School of Mines,2758855424.0,126775.0,R2,False,False,False,engineering,
288,2119155579,karl a smith,1,36,2008,0,1,0,man,130238516.0,University of Minnesota,1853563168.0,174066.0,R1,False,False,False,engineering,
715,2619959442,kristine de welde,4,113,2008,3,1,0,woman,,unknown,,,unknown,False,False,False,,
491,2259165646,janice rinehart,6,170,2008,1,1,0,woman,12912129.0,Northeastern University,4026457052.0,167358.0,R1,False,False,False,political science,
117,1961336676,patricia j culligan,3,5,2008,0,0,0,woman,,unknown,,,unknown,False,False,False,sociology,white
659,2583509683,richard a posthuma,2,47,2008,6,0,0,man,86519309.0,University of Texas at Austin,3495061422.0,228778.0,R1,False,False,False,psychology,
21,122506583,rebecca richardskortum,1,0,2008,3,0,2,woman,,unknown,,,unknown,False,False,False,political science,white
57,355384540,ruth a streveler,1,36,2008,0,0,0,woman,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False,engineering,
976,3171445186,a colella,1,36,2008,0,0,0,unknown,114832834.0,Tulane University,3758273046.0,160755.0,R1,False,False,False,psychology,
567,2424014445,patricia witherspoon,1,3,2008,0,0,0,woman,164936912.0,University of Texas at El Paso,2689189567.0,228796.0,R1,True,True,False,sociology,white
294,2121880025,kelly a rusch,1,4,2008,0,0,0,woman,121820613.0,Louisiana State University,373313306.0,159391.0,R1,False,False,False,sociology,white
581,2473463041,anna neumann,1,144,2008,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,
685,2602304884,carla fehr,4,35,2008,6,0,0,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False,political science,white
23,141713694,aimee lapointe terosky,4,226,2008,4,0,1,woman,51077184.0,Saint Joseph's University,3767789329.0,215770.0,carnegie,False,False,False,sociology,white
746,2653387564,sharon r bird,7,175,2008,9,2,2,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False,medicine,
548,2346072049,tonya saddler,1,1,2008,0,0,0,woman,,unknown,,,unknown,False,False,False,engineering,
803,2722206854,sherry woods,1,0,2008,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
440,2172106865,simy joy,1,184,2008,0,0,0,unknown,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,political science,
27,161593142,michelle r hebl,5,328,2009,30,1,10,woman,74775410.0,Rice University,3820954773.0,227757.0,R1,False,False,False,psychology,white
418,2164137528,lori anderson snyder,1,47,2009,1,0,1,woman,8692664.0,University of Oklahoma,1914578164.0,207500.0,R1,False,False,False,,white
690,2606047635,lucy e bailey,1,5,2009,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,
369,2148529808,randi c martin,1,250,2009,5,0,0,woman,74775410.0,Rice University,3820954773.0,227757.0,R1,False,False,False,psychology,white
307,2125828514,jennifer karlin,2,1,2009,1,0,0,woman,184647316.0,South Dakota School of Mines and Technology,2474269873.0,219347.0,carnegie,False,False,False,sociology,white
838,2780778578,andrea e surovek,3,1,2009,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,white
249,2106158877,carol isaac,3,205,2009,9,0,1,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,medicine,
6,41207434,janis p terpenny,1,2,2009,0,0,1,woman,,unknown,,,unknown,False,False,False,political science,
56,349430055,tamela mcnulty eitle,1,8,2009,6,0,10,woman,23732399.0,Montana State University,4012281303.0,180461.0,R1,False,False,False,psychology,
320,2128448257,ane turner johnson,1,2,2009,7,1,0,woman,,unknown,,,unknown,False,False,False,political science,
245,2104697110,margaret e beier,2,35,2009,1,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
395,2156255579,stephen j sauer,1,36,2009,1,0,0,man,16944753.0,Clarkson University,1885532354.0,190044.0,R2,False,False,False,psychology,
36,218688074,mark v roehling,1,11,2009,1,0,2,man,87216513.0,Michigan State University,2617467897.0,171100.0,R1,False,False,False,psychology,white
33,191607567,jessica t decuirgunby,4,25,2009,11,4,20,woman,137902535.0,North Carolina State University,2263107286.0,199193.0,R1,False,False,False,sociology,black
796,2713167710,gilda a barabino,1,127,2009,1,0,2,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,sociology,black
675,2598454787,barbara lee,3,205,2009,4,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
553,2358663456,ashley d rittmayer,2,35,2009,0,0,0,woman,,unknown,,,unknown,False,False,False,psychology,
317,2128026523,susan f cabrera,1,36,2009,1,0,0,woman,205783295.0,Cornell University,1190280161.0,190415.0,R1,False,False,False,psychology,
432,2169643998,matthew steffens,1,8,2009,1,0,1,man,23732399.0,Montana State University,4012281303.0,180461.0,R1,False,False,False,psychology,
692,2606588477,melanie c page,1,5,2009,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,
55,343426930,melissa c thomashunt,1,36,2009,2,0,2,woman,51556381.0,University of Virginia,2123654681.0,234076.0,R1,False,False,False,psychology,black
