PublicationId,Doi,PaperTitle,BookTitle,OriginalTitle,Year,Date,JournalId,Volume,Issue,FirstPage,LastPage,CitationCount,ADVANCEtype,JournalName
1566730636.0,10.31274/ETD-180810-2108,factors that contribute to overall job satisfaction among faculty at a large public land grant university in the midwest,,Factors that contribute to overall job satisfaction among faculty at a large public land-grant university in the Midwest,2011,1/1/11,,,,,,1,,
2597407697.0,,engaging coeur principles to achieve higher impact in student learning through a campus community partnership with the air force institute of technology,,Engaging COEUR Principles to Achieve Higher Impact in Student Learning through a Campus-Community Partnership with the Air Force Institute of Technology,2016,6/26/16,,,,,,0,,
2921750407.0,10.1111/IRJ.12246,work life policies and female faculty representation in us doctoral granting economics departments,,Work-life policies and female faculty representation in US doctoral‐granting economics departments,2019,3/1/19,140218963,50,2,168,196,2,gender_only,industrial relations journal
2114870377.0,10.1080/19407882.2014.987088,what s in a title gender micro inequities in a university human resources database,,What’s in a Title? Gender Micro-Inequities in a University Human Resources Database,2015,3/20/15,41655667,8,1,101,116,1,gender_only,naspa journal about women in higher education
2916292611.0,10.1108/EDI-03-2019-295,advanceing women faculty in stem empirical findings and practical recommendations from national science foundation advance institutions,,ADVANCEing women faculty in STEM: empirical findings and practical recommendations from National Science Foundation ADVANCE institutions,2019,2/26/19,97033246,38,2,122,130,2,,equality diversity and inclusion an international journal
1488354876.0,,why academic stem mothers feel they have to work harder than others on the job,,Why Academic STEM Mothers Feel They Have to Work Harder than Others on the Job,2013,7/22/13,2764490363,5,2,79,101,7,gender_only,international journal of gender science and technology
2081386529.0,10.1371/JOURNAL.PONE.0079147,gender heterogeneous working groups produce higher quality science,,Gender-Heterogeneous Working Groups Produce Higher Quality Science,2013,10/30/13,202381698,8,10,1,6,154,,plos one
2014887348.0,10.3149/FTH.1003.337,parental leave usage by fathers and mothers at an american university,,PARENTAL LEAVE USAGE BY FATHERS AND MOTHERS AT AN AMERICAN UNIVERSITY,2012,9/1/12,54735779,10,3,337,363,33,,fathering a journal of theory research and practice about men as fathers
2079038530.0,10.1029/2007EO380002,assessing the publication productivity and impact of eminent geoscientists,,Assessing the publication productivity and impact of eminent geoscientists,2007,9/18/07,168828829,88,38,370,371,2,,eos transactions american geophysical union
1545659942.0,,evolution of a faculty mentoring program for stem women,,Evolution of a Faculty Mentoring Program for STEM Women,2011,11/21/11,2764490363,3,3,643,658,1,,international journal of gender science and technology
2495200487.0,10.1021/BK-2010-1057.CH005,mentoring pathways a small wins approach to fostering faculty development,ACS Symposium Series,Mentoring Pathways: A Small Wins Approach to Fostering Faculty Development,2010,1/1/10,,,,61,78,0,,
2055188686.0,10.1109/FIE.2014.7044160,the effect of institution mission drift on stem faculty career advancement at a striving university,FIE,The effect of institution mission drift on STEM faculty career advancement at a striving university,2014,10/1/14,,,,1,6,0,,
2948707075.0,,sustaining advance at virginia tech 2018,,Sustaining Advance at Virginia Tech 2018,2018,12/1/18,,,,,,0,,
2310436596.0,,increasing the participation and advancement of women in academic science and engineering careers in the united states of america,,Increasing the Participation and Advancement of Women in Academic Science and Engineering Careers in the United States of America,2002,1/1/02,,,,,,2,,
2005121262.0,10.1038/NGEO113,gender imbalance in us geoscience academia,,Gender imbalance in US geoscience academia,2008,2/1/08,48977010,1,2,79,82,39,gender_only,nature geoscience
2330681858.0,10.1130/G105GW.1,obstacles to the recruitment of minorities into the geosciences a call to action,,Obstacles to the recruitment of minorities into the geosciences: A call to action,2011,6/1/11,70758925,21,6,52,54,37,,gsa today
2913638099.0,10.1016/S0140-6736(18)33213-6,athena swan and advance effectiveness and lessons learned,,Athena SWAN and ADVANCE: effectiveness and lessons learned.,2019,2/9/19,49861241,393,10171,604,608,28,,the lancet
2999037481.0,,writing retreat increases productivity and community for women geoscientists,,Writing Retreat Increases Productivity And Community For Women Geoscientists,2011,12/1/11,,2011,,,,0,,
2123732030.0,10.1177/0730888413515497,consequences of flexibility stigma among academic scientists and engineers,,Consequences of Flexibility Stigma Among Academic Scientists and Engineers,2014,2/1/14,51211322,41,1,86,110,84,,work and occupations
2768909329.0,10.1177/0143831X17734297,insecurity in the ivory tower direct and indirect effects of pay stagnation and job insecurity on faculty performance,,Insecurity in the Ivory Tower: Direct and indirect effects of pay stagnation and job insecurity on faculty performance:,2017,11/13/17,5195456,41,3,693,708,1,,economic & industrial democracy
2614624087.0,,mentoring programs supporting junior faculty,,Mentoring Programs Supporting Junior Faculty,2013,6/23/13,,,,,,0,,
1868913336.0,10.1016/J.SCAMAN.2015.09.003,do your employees collectively trust you the importance of trust climate beyond individual trust,,Do your employees (collectively) trust you? The importance of trust climate beyond individual trust,2015,12/1/15,171971387,31,4,526,535,13,,scandinavian journal of management
2280951074.0,10.1037/A0039372,work life satisfaction policy in advance universities assessing levels of flexibility,,Work/life satisfaction policy in ADVANCE universities: Assessing levels of flexibility.,2015,9/1/15,48143771,8,3,157,174,9,gender_only,journal of diversity in higher education
2759924772.0,10.1108/S1529-212620170000023003,how college students perceive men s and women s advantages and disadvantages surrounding work and family issues,,How College Students Perceive Men’s and Women’s Advantages and Disadvantages Surrounding Work and Family Issues,2017,9/21/17,,23,,,,0,gender_only,
2281491157.0,10.1063/1.4937721,from fixing women to institutional transformation an advance case study,,"From ""fixing women"" to ""institutional transformation"": An ADVANCE case study",2015,12/31/15,,1697,1,120016,,0,,
2604589322.0,,starting points for involving underrepresented graduate students in international engagement a case study on the collaborations between the university of maryland baltimore county umbc and educational institutions in latin america,,Starting Points for Involving Underrepresented Graduate Students in International Engagement: A Case Study on the Collaborations Between the University of Maryland Baltimore County (UMBC) and Educational Institutions in Latin America,2015,6/14/15,,,,,,1,,
2058945027.0,10.1097/00001888-200312000-00018,gender differences among physician scientists in self assessed abilities to perform clinical research,,Gender differences among physician-scientists in self-assessed abilities to perform clinical research.,2003,12/1/03,19793444,78,12,1281,1286,71,gender_only,academic medicine
139819880.0,,women in stem careers international perspectives on increasing workforce participation advancement and leadership,,"Women in STEM Careers: International Perspectives on Increasing Workforce Participation, Advancement and Leadership",2014,12/31/14,,,,,,2,,
2028169417.0,10.1016/J.SOSCIJ.2009.02.004,religious affiliation and beliefs about racial inequality white college students attitudes about black white and native american white inequality,,Religious affiliation and beliefs about racial inequality: White college students’ attitudes about Black-White and Native American-White inequality ☆,2009,9/1/09,129906632,46,3,506,520,8,race_ethnicity,social science journal
2494955873.0,10.1021/BK-2010-1057.CH013,enhancing your professional presence,ACS Symposium Series,Enhancing Your Professional Presence,2010,1/1/10,,,,179,187,0,,
3012805127.0,10.1257/PANDP.20201121,can mentoring help female assistant professors in economics an evaluation by randomized trial,,Can Mentoring Help Female Assistant Professors in Economics? An Evaluation by Randomized Trial,2020,3/19/20,2809516038,110,,205,209,1,,national bureau of economic research
75824957.0,10.1007/978-94-010-0007-9_5,gender faculty and doctoral education in science and engineering,,"Gender, Faculty, and Doctoral Education in Science and Engineering",2003,1/1/03,,,,91,109,25,,
64572808.0,,infusing psychological need support into faculty search processes broadening the search experiment results,,Infusing Psychological Need Support into Faculty Search Processes: Broadening the Search Experiment Results,2013,1/1/13,,,,,,0,,
46228059.0,10.28945/2048,by design how departments influence graduate student agency in career advancement,,By Design: How Departments Influence Graduate Student Agency in Career Advancement,2014,1/1/14,2738474347,9,,155,179,33,,international journal of doctoral studies
1948388880.0,10.1007/S12108-015-9273-X,sociology as a partial influence on evaluation research,,Sociology as a Partial Influence on Evaluation Research,2015,6/4/15,190552063,46,4,467,479,0,gender_only,the american sociologist
2476321045.0,10.1093/MED/9780199207428.003.0005,focusing the lenses of feminist theories to reflect on technology and psychiatry,Philosophical Perspectives on Technology and Psychiatry,Focusing the lenses of feminist theories to reflect on technology and psychiatry,2007,1/1/07,,,,87,114,0,gender_only,
2995586115.0,10.4324/9780429316265-15,building an old girls network in academic science technology engineering and mathematics,,"Building an “Old Girls’ Network” in Academic Science, Technology, Engineering, and Mathematics",2019,12/6/19,,,,165,180,0,,
1960305390.0,10.1080/00091383.2015.1053767,advancing the agenda for gender equity,,ADVANCing the Agenda for Gender Equity,2015,7/31/15,39842224,47,4,16,24,9,gender_only,change the magazine of higher learning
2474480744.0,10.1002/DCH.30088,mentoring the millennial faculty member,,Mentoring the Millennial Faculty Member,2016,6/1/16,51012183,27,1,6,8,0,,the department chair
2224151463.0,10.1007/978-3-531-92501-1_2,engendering the university through policy and practice barriers to promotion to full professor for women in the science engineering and math disciplines,,"Engendering the University through Policy and Practice: Barriers to Promotion to Full Professor for Women in the Science, Engineering, and Math Disciplines",2010,1/1/10,,,,15,26,19,,
2345812064.0,10.1177/0886109915622527,cumulative disadvantage effects of early career childcare issues on faculty research travel,,Cumulative Disadvantage Effects of Early Career Childcare Issues on Faculty Research Travel,2016,8/1/16,190691735,31,3,317,330,10,gender_only,affilia
2282553687.0,10.1007/S10755-016-9358-7,departmental dialogues facilitating positive academic climates to improve equity in stem disciplines,,Departmental Dialogues: Facilitating Positive Academic Climates to Improve Equity in STEM Disciplines,2016,2/8/16,53132383,41,5,381,394,9,,innovative higher education
2791517481.0,10.1007/S11199-017-0888-Y,linking job work hours to women s physical health the role of perceived unfairness and household work hours,,Linking Job Work Hours to Women’s Physical Health: The Role of Perceived Unfairness and Household Work Hours,2018,2/17/18,73388012,79,7,476,488,3,,sex roles
1967871120.0,10.1145/1268784.1268790,broadening participation in computing issues and challenges,ITiCSE,Broadening participation in computing: issues and challenges,2007,6/25/07,,39,3,9,13,45,,
2161749311.0,,engineering women and leadership,,Engineering: Women and Leadership,2008,7/16/08,,,,,,4,,
2996524459.0,,evaluating career development resources lessons from the earth science women s network eswn,,Evaluating Career Development Resources: Lessons from the Earth Science Women's Network (ESWN),2010,12/1/10,,2010,,,,2,,
1855004143.0,10.1080/03075079.2015.1072151,gendered patterns in international research collaborations in academia,,Gendered patterns in international research collaborations in academia,2015,9/12/15,162196882,42,4,760,782,34,gender_only,studies in higher education
2292701398.0,,inclusive leadership perspectives from advancerit presentation give to as on october 15 2015,,"Inclusive Leadership: Perspectives from AdvanceRIT (Presentation give to AS on October 15, 2015)",2015,10/15/15,,,,,,0,,
2140484450.0,,women s ways of collaboration a case study in proposal development,,Women's Ways of Collaboration: A Case Study in Proposal Development.,2008,3/22/08,2765013392,39,1,48,57,9,,the journal of research administration
2184881398.0,10.1109/FIE.2015.7344182,tailor made meeting the unique needs of women of color stem sbs faculty through mentoring,FIE,Tailor-made: Meeting the unique needs of women of color STEM-SBS faculty through mentoring,2015,10/21/15,,,,1,5,4,,
2589091680.0,10.1007/S10755-017-9389-8,faculty learning matters organizational conditions and contexts that shape faculty learning,,Faculty Learning Matters: Organizational Conditions and Contexts that Shape Faculty Learning,2017,2/14/17,53132383,42,4,355,376,11,,innovative higher education
2025951333.0,10.1007/S10755-012-9242-Z,seeking balance the importance of environmental conditions in men and women faculty s well being,,Seeking Balance: The Importance of Environmental Conditions in Men and Women Faculty's Well-being,2013,8/1/13,53132383,38,4,309,322,21,,innovative higher education
2504521303.0,10.1021/BK-2010-1057.CH003,adapting mentoring programs to the liberal arts college environment,,Adapting Mentoring Programs to the Liberal Arts College Environment,2010,1/1/10,,,,,,2,,
2060470254.0,10.1097/ACM.0B013E31802D939F,viewpoint a challenge to academic health centers and the national institutes of health to prevent unintended gender bias in the selection of clinical and translational science award leaders,,Viewpoint: A challenge to academic health centers and the National Institutes of Health to prevent unintended gender bias in the selection of clinical and translational science award leaders.,2007,2/1/07,19793444,82,2,202,206,44,,academic medicine
2918030250.0,10.1108/EDI-09-2017-0192,the changer and the changed evolving theories and practices of change in advance calls for institutional transformation,,The changer and the changed: Evolving theories and practices of change in ADVANCE calls for institutional transformation,2019,2/26/19,97033246,38,2,140,159,4,intersectional,equality diversity and inclusion an international journal
2525227385.0,,assessment of implicit attitudes toward women faculty in science technology engineering and math,,"Assessment of Implicit Attitudes Toward Women Faculty in Science, Technology, Engineering, and Math",2011,1/1/11,,,,,,0,,
2912099590.0,,bystander interventions for disrupting microaggressions in the academy,,Bystander Interventions for Disrupting Microaggressions in the Academy,2017,6/21/17,,,,,,0,,
2244732202.0,,women in engineering a review of the 2004 literature,,Women in Engineering: A Review of the 2004 Literature,2005,1/1/05,2764354457,,,,,9,,women in engineering proactive network
2058877522.0,10.1038/442868B,gender macho language and other deterrents,,Gender: macho language and other deterrents,2006,8/24/06,137773608,442,7105,868,868,14,gender_only,nature
2942664047.0,10.2139/SSRN.3344659,final outcomes report rochester institute of technology advance rit,,Final Outcomes Report: Rochester Institute of Technology: Advance RIT,2019,2/28/19,2751751161,,,,,0,intersectional,social science research network
2808363228.0,10.1017/S104909651800094X,the benefits and pitfalls of google scholar,,The Benefits and Pitfalls of Google Scholar,2018,10/1/18,975761300,51,4,820,824,9,,ps political science & politics
2073040867.0,10.1109/FIE.2014.7044118,interactive theatre to engage faculty in difficult dialogues first implementation,FIE,Interactive theatre to engage faculty in difficult dialogues: First implementation,2014,10/1/14,,,,1,5,1,,
2615773570.0,,modeling the career pathways of women engineering faculty through oral histories and participatory research methods,,Modeling The Career Pathways Of Women Engineering Faculty Through Oral Histories And Participatory Research Methods,2010,6/20/10,,,,,,0,,
2184133901.0,10.1016/B978-0-12-800855-3.00002-7,the forward to professorship workshop,,The FORWARD to Professorship Workshop,2016,1/1/16,,,,17,45,2,gender_only,
3035379359.0,10.1080/13668803.2020.1776220,gender type of higher education institution and faculty work life integration in the united states,,"Gender, type of higher education institution, and faculty work-life integration in the United States",2020,6/11/20,93028289,,,1,20,1,,community work & family
2023059180.0,10.1002/SCE.20307,narrations of race in stem research settings identity formation and its discontents,,Narrations of Race in STEM Research Settings: Identity Formation and Its Discontents.,2009,5/1/09,161883588,93,3,485,510,127,race_ethnicity,science education
3034953519.0,10.5399/OSU/ADVJRNL.1.2.4,just undo it men faculty addressing gender inequities in academia,,Just UnDo It: Men Faculty Addressing Gender Inequities in Academia,2020,6/10/20,,1,2,13140,,0,,
3094967305.0,10.1080/10665684.2020.1791280,who gets to have a life agency in work life balance for single faculty,,Who Gets to Have a Life? Agency in Work-Life Balance for Single Faculty,2020,11/6/20,55110324,53,4,531,550,1,,equity & excellence in education
1977607547.0,10.1080/00091383.2010.489022,the search is on engendering faculty diversity through more effective search and recruitment,,The Search is On: Engendering Faculty Diversity Through More Effective Search and Recruitment,2010,8/8/10,39842224,42,4,27,32,19,,change the magazine of higher learning
2264395416.0,10.1353/RHE.2016.0007,left unsaid the role of work expectations and psychological contracts in faculty careers and departure,,Left Unsaid: The Role of Work Expectations and Psychological Contracts in Faculty Careers and Departure,2016,1/1/16,186832212,39,2,269,297,17,,the review of higher education
2257928929.0,10.1108/IJMCE-10-2015-0029,supporting faculty mentoring through the use of creative technologies there s an app for that,,Supporting faculty mentoring through the use of creative technologies: There’s an app for that,2016,3/3/16,2764765808,5,1,54,64,3,,international journal of mentoring and coaching in education
2006332810.0,10.1007/S11199-013-0289-9,the application of biological evolutionary and sociocultural frameworks to issues of gender in introductory psychology textbooks,,"The Application of Biological, Evolutionary, and Sociocultural Frameworks to Issues of Gender in Introductory Psychology Textbooks",2013,5/7/13,73388012,69,9,536,542,2,gender_only,sex roles
1030668652.0,,is math still just a man s world,,Is Math Still Just a Man’s World?,2012,1/1/12,,,,,,3,gender_only,
1994543706.0,10.1126/SCIENCE.1214844,survival analysis of faculty retention in science and engineering by gender,,Survival Analysis of Faculty Retention in Science and Engineering by Gender,2012,2/17/12,3880285,335,6070,864,866,96,,science
2797490914.0,10.1177/0731121418766896,understanding gendered negotiations in the academic dual career hiring process,,Understanding Gendered Negotiations in the Academic Dual-career Hiring Process:,2018,4/9/18,195570583,61,5,748,765,2,,sociological perspectives
2058033610.0,10.1128/MBIO.00640-12,males are overrepresented among life science researchers committing scientific misconduct,,Males Are Overrepresented among Life Science Researchers Committing Scientific Misconduct,2013,3/1/13,174937383,4,1,,,44,,mbio
1561924125.0,10.1108/GM-02-2014-0014,great expectations in academia realistic job previews on jobs and work family balance,,Great expectations in academia: realistic job previews on jobs and work-family balance,2015,7/10/15,175013504,30,6,457,478,5,,gender in management an international journal
1979124584.0,10.1089/JWH.2007.E072,jennifer fever in academic medicine,,Jennifer fever in academic medicine.,2007,4/17/07,191117624,16,3,299,301,3,,journal of womens health
2611142747.0,10.1615/JWOMENMINORSCIENENG.2017017021,institutional transformation toward a diversity positive campus culture,,Institutional Transformation: Toward a Diversity-Positive Campus Culture,2017,1/1/17,167998872,23,2,147,167,2,gender_only,journal of women and minorities in science and engineering
2596319894.0,,increasing student and faculty participation and student learning in an undergraduate stem summer research program in a government institution through a higher education partnership,,Increasing Student and Faculty Participation and Student Learning in an Undergraduate STEM Summer Research Program in a Government Institution through a Higher Education Partnership,2015,6/14/15,,,,,,0,,
2021013828.0,10.1177/0361684313482109,the influence of female role models on women s implicit science cognitions,,The influence of female role models on women’s implicit science cognitions.,2013,4/11/13,30211177,37,3,283,292,100,,psychology of women quarterly
1984493788.0,10.1615/JWOMENMINORSCIENENG.2012002193,i just need someone who knows the ropes mentoring and female faculty in science and engineering,,I JUST NEED SOMEONE WHO KNOWS THE ROPES: MENTORING AND FEMALE FACULTY IN SCIENCE AND ENGINEERING,2012,1/1/12,167998872,18,1,79,96,5,,journal of women and minorities in science and engineering
2604019613.0,,tools for change boosting the retention of women in the stem pipeline,,Tools for Change: Boosting the Retention of Women in the Stem Pipeline,2016,1/1/16,2764410520,6,1,11,,17,gender_only,journal of research in gender studies
2909822325.0,10.1108/EDI-07-2018-0127,is it always this cold chilly interpersonal climates as a barrier to the well being of early career women faculty in stem,,Is it always this cold? Chilly interpersonal climates as a barrier to the well-being of early-career women faculty in STEM,2019,3/11/19,97033246,38,2,226,245,12,,equality diversity and inclusion an international journal
2087818213.0,10.1007/S11162-013-9303-X,faculty agency departmental contexts that matter in faculty careers,,Faculty Agency: Departmental contexts that matter in faculty careers,2014,2/1/14,130619902,55,1,49,74,77,,research in higher education
2064606555.0,10.1615/JWOMENMINORSCIENENG.V14.I3.50,diverse pathways to the phd a study of women faculty in the sciences and engineering at a hispanic serving institution,,Diverse Pathways to the Phd: a Study of Women Faculty in the Sciences and Engineering at a Hispanic-Serving Institution,2008,1/1/08,167998872,14,3,319,337,3,,journal of women and minorities in science and engineering
2076113539.0,10.1177/0306312705046630,gender family characteristics and publication productivity among scientists,,"Gender, Family Characteristics, and Publication Productivity among Scientists",2005,2/1/05,68632876,35,1,131,150,301,,social studies of science
2043114134.0,10.1109/FIE.2014.7044117,considerations for the effective mentoring of stem women of color faculty at a striving private technical university,FIE,Considerations for the effective mentoring of STEM women of color faculty at a striving private technical university,2014,10/1/14,,,,1,5,0,,
